Skladnik: procent
Krwiœci¹g: 5
Ziele sza³wii: 5
Kwiat rumianku: 5
Liœæ mnieszka lekarskiego: 5
Liœæ babki: 5
Ziele krwawnika: 5
Ziele lebiodki pospolitej: 5
Ziele hyzopu: 5
Ziele rdestu ptasiego: 5
K³¹cze perzu: 5
K³¹cze kuklika: 10
Nasiona dzikiej marchwi: 5
Kora wierzby: 5
Wyt³oki z czarnuszki: 10
Wyt³oki z jab³ek: 10
Wyt³oki z kiszonej kapusty: 10
