Skladnik: procent
Ziele cykorii: 8
Ziele tymianku: 8
Ziele karczocha: 5
Ziele krwawnika: 5
Ziele dziurawca: 3
Ziele pokrzywy: 8
Ziele rdestu ptasiego: 10
Ziele skrzypu: 5
Liœæ babki: 5
Liœæ melisy: 5
Wyt³oki z wiesio³ka: 10
Wyt³oki z czarnuszki: 8
Wyt³oki z pigwowca: 5
Wyt³oki z papryki ostrej: 3
Wyt³oki z papryki s³odkiej: 7
Wyt³oki z lnu: 5
