Skladnik: procent
Ziele pokrzywy: 10
Ziele lebiodki pospolitej: 5
Ziele bylicy pospolitej: 10
Ziele tymianku: 5
Czosnek: 10
Korzeñ omanu: 5
K³¹cze tataraku: 5
Wyt³oki z cebuli: 10
Wyt³oki z lnu: 15
Wyt³oki z dyni: 20
Wyt³oki z wiesio³ka: 5
