Skladnik: procent
Ziele pokrzywy: 10
Ziele rdestu ptasiego: 7
Ziele lebiodki pospolitej: 3
Ziele sza³wii: 3
Liœæ melisy: 3
Ziele krwawnika: 3
Czosnek: 3
Kwiat nagietka: 5
Owoc g³ogu: 5
Wyt³oki z wiesio³ka: 8
Wyt³oki z borówki wysokiej: 2
Wyt³oki z soi: 15
Wyt³oki z rzepaku: 10
Wyt³oki z lnu: 8
Wyt³oki z ostropestu: 5
Wyt³oki z czarnuszki: 5
Wyt³oki z lnianki: 5
