Skladnik: procent
Jêczmieñ: 15
Pszenica: 15
Wyt³oki jab³kowe: 5
Wyt³oki z marchwii: 9
Wyt³oki z rzepaku: 20
Wyt³oki z lnu: 15
Wyt³oki z soi: 8
Wyt³oki z czarnuszki: 5
Kreda pastewna: 1
Sol kamienna: 1
Dolomit: 1
Mieszanka zio³owa: 5
