Skladnik: procent
Korzeñ szczawiu kêdzierzawego: 15
Ziele piêciornika kurzego: 15
Ziele sza³wii: 10
Ziele krwiœci¹gu: 10
Ziele rdestu ptasiego: 10
Owoce jarzêbiny: 10
K³¹cze rdestu wê¿ownika: 10
Liœæ maliny: 5
Kora dêbu: 10
¯o³êdzie: 5
