Skladnik: procent
Jêczmieñ: 22
Pszenica: 22
Wyt³oki jab³kowe: 2
Wyt³oki z marchwi: 5
Wyt³oki z dyni: 5
Wyt³oki z lnu: 10
Wyt³oki z soi: 10
Wyt³oki z pomidorów: 5
Wyt³oki z papryki s³odkiej: 5
Kreda pastewna: 9
Mieszanka zio³owa: 5
