Skladnik: procent
Korzeñ kobylaka: 15
Pieciornik kurze ziele: 10
Ziele krwiœci¹gu: 10
K³¹cze rdestu wêzownika: 10
Ziele miêty: 10
Kora dêbu: 10
K³¹cze perzu: 10
Wyt³oki z lnu: 10
Wyt³oki z rzepaku: 5
Wyt³oki z pomidorów: 5
Nasiona kozieradki: 5
